# Zenith RA (deg), Zenith Dec (deg), Time (Julian Date)
281.79789,38.41227,2460050.93750
147.37132,38.53765,2460056.54917
90.97616,38.43110,2460062.37667
112.53811,38.47778,2460068.42000
212.14630,38.54200,2460074.67917
29.43860,38.32126,2460081.15417
284.87003,38.40357,2460087.84500
258.07631,38.46151,2460094.75167
309.17936,38.35469,2460101.87417
78.04291,38.40396,2460109.21250
285.17428,38.40058,2460116.76667
209.98721,38.54178,2460124.53667
212.76305,38.53848,2460132.52250
293.48254,38.38115,2460140.72417
91.89363,38.43507,2460149.14167
328.54870,38.32164,2460157.77500
283.01725,38.40129,2460166.62417
315.32368,38.33832,2460175.68917
65.41016,38.37729,2460184.97000
253.76310,38.46558,2460194.46667
159.70524,38.55313,2460204.17917
143.66392,38.53673,2460214.10750
166.93180,38.55871,2459987.79167
244.96807,38.49217,2459988.00750
40.63684,38.33191,2459988.43917
274.54455,38.42742,2459989.08667
226.16107,38.52635,2459989.95000
255.75382,38.46959,2459991.02917
3.13086,38.30352,2459992.32417
188.52727,38.56223,2459993.83500
91.71525,38.43270,2459995.56167
72.93701,38.39095,2459997.50417
132.07957,38.51664,2459999.66250
269.30664,38.43993,2460002.03667
124.06444,38.50188,2460004.62667
56.93788,38.35900,2460007.43250
67.70607,38.38004,2460010.45417
156.44100,38.54954,2460013.69167
323.16127,38.33376,2460017.14500
207.64997,38.54974,2460020.81417
170.01297,38.55898,2460024.69917
210.42490,38.54658,2460028.80000
328.69440,38.32703,2460033.11667
164.76826,38.55535,2460037.64917
78.78611,38.40395,2460042.39750
70.78398,38.38712,2460047.36167
140.71226,38.52867,2460052.54167
288.69407,38.39712,2460057.93750
154.28122,38.54538,2460063.54917
97.87618,38.44642,2460069.37667
119.44253,38.49177,2460075.42000
219.05565,38.53307,2460081.67917
36.32741,38.32924,2460088.15417
291.76568,38.38860,2460094.84500
264.97767,38.44594,2460101.75167
316.07054,38.34288,2460108.87417
84.94007,38.41912,2460116.21250
292.06987,38.38556,2460123.76667
216.89700,38.53335,2460131.53667
219.67248,38.52930,2460139.52250
300.37654,38.36693,2460147.72417
98.79375,38.45054,2460156.14167
335.43723,38.31387,2460164.77500
289.91337,38.38605,2460173.62417
322.21382,38.32756,2460182.68917
72.30468,38.39173,2460191.97000
260.66549,38.45029,2460201.46667
166.61651,38.55808,2460211.17917
150.57362,38.54563,2460221.10750
173.84313,38.56174,2459994.79167
251.87206,38.47815,2459995.00750
47.52723,38.34245,2459995.43917
281.44235,38.41232,2459996.08667
233.06841,38.51503,2459996.95000
262.65555,38.45475,2459998.02917
10.01808,38.30512,2459999.32417
195.43853,38.55938,2460000.83500
98.61548,38.44815,2460002.56167
79.83324,38.40598,2460004.50417
138.98748,38.52774,2460006.66250
276.20552,38.42464,2460009.03667
130.97102,38.51427,2460011.62667
63.83101,38.37231,2460014.43250
74.60124,38.39463,2460017.45417
163.35176,38.55518,2460020.69167
330.05050,38.32505,2460024.14500
214.55979,38.54200,2460027.81417
176.92449,38.56100,2460031.69917
217.33450,38.53822,2460035.80000
335.58298,38.31958,2460040.11667
171.67957,38.55869,2460044.64917
85.68348,38.41917,2460049.39750
77.67974,38.40180,2460054.36167
147.62142,38.53791,2460059.54167
295.58895,38.38257,2460064.93750
161.19181,38.55135,2460070.54917
104.77758,38.46157,2460076.37667
126.34827,38.50475,2460082.42000
225.96421,38.52264,2460088.67917
43.21716,38.33872,2460095.15417
298.65996,38.37414,2460101.84500
271.87752,38.43027,2460108.75167
322.96067,38.33225,2460115.87417
91.83875,38.43442,2460123.21250
298.96416,38.37110,2460130.76667
223.80586,38.52328,2460138.53667
226.58101,38.51875,2460146.52250
307.26917,38.35355,2460154.72417
105.69535,38.46568,2460163.14167
342.32512,38.30770,2460171.77500
296.80797,38.37139,2460180.62417
329.10308,38.31834,2460189.68917
79.20054,38.40685,2460198.97000
267.56634,38.43457,2460208.46667
173.52810,38.56114,2460218.17917
157.48409,38.55297,2460228.10750
180.75464,38.56278,2460001.79167
258.77454,38.46343,2460002.00750
54.41870,38.35437,2460002.43917
288.33859,38.39747,2460003.08667
239.97458,38.50239,2460003.95000
269.55582,38.43945,2460005.02917
16.90543,38.30851,2460006.32417
202.34950,38.55477,2460007.83500
105.51711,38.46330,2460009.56167
86.73091,38.42124,2460011.50417
145.89635,38.53733,2460013.66250
283.10284,38.40947,2460016.03667
137.87878,38.52553,2460018.62667
70.72535,38.38645,2460021.43250
81.49778,38.40961,2460024.45417
170.26292,38.55893,2460027.69167
336.93886,38.31792,2460031.14500
221.46889,38.53270,2460034.81417
183.83603,38.56114,2460038.69917
224.24316,38.52825,2460042.80000
342.47087,38.31368,2460047.11667
178.59104,38.56025,2460051.64917
92.58239,38.43455,2460056.39750
84.57688,38.41699,2460061.36167
154.53133,38.54551,2460066.54167
302.48241,38.36871,2460071.93750
168.10287,38.55566,2460077.54917
111.68048,38.47621,2460083.37667
133.25521,38.51676,2460089.42000
232.87163,38.51088,2460095.67917
50.10778,38.34961,2460102.15417
305.55294,38.36065,2460108.84500
278.77596,38.41449,2460115.75167
329.84991,38.32320,2460122.87417
98.73884,38.44980,2460130.21250
305.85707,38.35759,2460137.76667
230.71379,38.51191,2460145.53667
233.48846,38.50678,2460153.52250
314.16069,38.34133,2460161.72417
112.59841,38.48050,2460170.14167
349.21250,38.30344,2460178.77500
303.70133,38.35755,2460187.62417
335.99144,38.31065,2460196.68917
86.09794,38.42239,2460205.97000
274.46578,38.41882,2460215.46667
180.44001,38.56243,2460225.17917
164.39524,38.55853,2460235.10750
